Year,SERIES,UNIT_MEASURE,Value
2013,_L_GH_160502_01,IX,46
2014,_L_GH_160502_01,IX,48
2015,_L_GH_160502_01,IX,47
2016,_L_GH_160502_01,IX,43
2017,_L_GH_160502_01,IX,40
2018,_L_GH_160502_01,IX,41
2019,_L_GH_160502_01,IX,41
2020,_L_GH_160502_01,IX,43
2013,_L_GH_160502_02,_L_GH_RANK,63
2014,_L_GH_160502_02,_L_GH_RANK,61
2015,_L_GH_160502_02,_L_GH_RANK,56
2016,_L_GH_160502_02,_L_GH_RANK,70
2017,_L_GH_160502_02,_L_GH_RANK,81
2018,_L_GH_160502_02,_L_GH_RANK,78
2019,_L_GH_160502_02,_L_GH_RANK,80
2020,_L_GH_160502_02,_L_GH_RANK,75
